"Typ","Kauf","Cur.","Verkauf","Cur.","Gebühr","Cur.","Börse","Gruppe","Kommentar","Datum"
"Auszahlung","","","300.13506100","USDT","","","ETH Wallet","Testadresse","","21.01.2024 20:56:23"
"Sonstige Gebühr","","","0.00088668","ETH","","","ETH Wallet","Testadresse","","21.01.2024 20:56:23"
"Auszahlung","","","184.08652100","USDT","","","ETH Wallet","Testadresse","","21.01.2024 20:30:35"
"Sonstige Gebühr","","","0.00110825","ETH","","","ETH Wallet","Testadresse","","21.01.2024 20:30:35"
"Einzahlung","0.00999000","ETH","","","","","ETH Wallet","Testadresse","","21.01.2024 20:28:11"
"Einzahlung","280.00000000","USDT","","","","","ETH Wallet","Testadresse","","21.01.2024 20:10:11"
"Einzahlung","1205.00000000","USDT","","","","","ETH Wallet","Testadresse","","21.01.2024 13:03:11"
